Student Name,College / University Name,Degree,Specialization,Graduation Year,Location,Skills,Certifications,Internship Experience,LinkedIn Profile URL
Riya Nair,IIM Bangalore,BBA,Finance,2027,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Operations Consultant Intern at PwC (4 Months),https://www.linkedin.com/in/riya-nair-333
Siddharth Das,IIM Bangalore,BBA,Data Analytics,2025,Delhi NCR,"SQL, Excel, Tableau, Data Cleaning, Python",None,HR Generalist Intern at Tata Consultancy Services (3 Months),https://www.linkedin.com/in/siddharth-das-354
Aarav Sen,Delhi University,MBA,Finance,2025,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,HR Generalist Intern at Deloitte (2 Months),https://www.linkedin.com/in/aarav-sen-477
Aarav Verma,NMIMS Mumbai,MBA,Operations & Supply Chain,2026,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at Deloitte (4 Months),https://www.linkedin.com/in/aarav-verma-573
Rohan Verma,FMS Delhi,MBA,Finance,2024,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Marketing Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/rohan-verma-133
Vikram Patel,Shaheed Sukhdev College of Business Studies,BBA,Data Analytics,2025,"Hyderabad, Telangana","SQL, Excel, Tableau, Data Cleaning, Python",None,Financial Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/vikram-patel-623
Diya Sen,Delhi University,BBA,Marketing,2024,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Operations Consultant Intern at EY (5 Months),https://www.linkedin.com/in/diya-sen-871
Riya Verma,SPJIMR Mumbai,BBA,Data Analytics,2026,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,HR Generalist Intern at Amazon (5 Months),https://www.linkedin.com/in/riya-verma-598
Sneha Kapoor,Shaheed Sukhdev College of Business Studies,MBA,Management Consulting,2026,Delhi NCR,"Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at Deloitte (6 Months),https://www.linkedin.com/in/sneha-kapoor-207
Ananya Gupta,IIM Calcutta,MBA,Business Analytics,2027,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Business Analyst Intern at EY (3 Months),https://www.linkedin.com/in/ananya-gupta-739
Arjun Verma,Symbiosis International University,MBA,Human Resources,2024,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Operations Consultant Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/arjun-verma-609
Arjun Joshi,NMIMS Mumbai,BBA,General Management,2024,"Hyderabad, Telangana","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Operations Consultant Intern at KPMG (2 Months),https://www.linkedin.com/in/arjun-joshi-500
Vikram Singh,NMIMS Mumbai,BBA,Finance,2025,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Business Analyst Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/vikram-singh-429
Diya Chawla,Delhi University,BBA,Marketing,2027,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Marketing Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/diya-chawla-442
Siddharth Chawla,NMIMS Mumbai,MBA,Finance,2027,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/siddharth-chawla-176
Aarav Reddy,Symbiosis International University,MBA,Business Analytics,2024,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,HR Generalist Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/aarav-reddy-698
Gaurav Gupta,IIM Calcutta,MBA,Operations & Supply Chain,2025,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at Deloitte (6 Months),https://www.linkedin.com/in/gaurav-gupta-511
Rahul Gupta,Delhi University,BBA,Digital Marketing,2027,"Bengaluru, Karnataka","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,None,https://www.linkedin.com/in/rahul-gupta-169
Kriti Joshi,IIM Ahmedabad,BBA,Finance,2025,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Marketing Intern at Deloitte (6 Months),https://www.linkedin.com/in/kriti-joshi-267
Sneha Chawla,IIM Bangalore,MBA,Finance,2025,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Operations Consultant Intern at Amazon (2 Months),https://www.linkedin.com/in/sneha-chawla-424
Gaurav Kapoor,XLRI Jamshedpur,MBA,Business Analytics,2025,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,None,https://www.linkedin.com/in/gaurav-kapoor-790
Meera Reddy,Symbiosis International University,MBA,Finance,2025,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,None,https://www.linkedin.com/in/meera-reddy-295
Sneha Sen,Shaheed Sukhdev College of Business Studies,BBA,General Management,2026,"Mumbai, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Operations Consultant Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/sneha-sen-891
Rahul Mehta,FMS Delhi,BBA,Data Analytics,2024,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,Financial Analyst Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/rahul-mehta-280
Gaurav Nair,IIM Calcutta,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Operations Consultant Intern at KPMG (2 Months),https://www.linkedin.com/in/gaurav-nair-956
Rahul Sharma,IIM Bangalore,MBA,Human Resources,2025,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Operations Consultant Intern at KPMG (3 Months),https://www.linkedin.com/in/rahul-sharma-567
Meera Nair,SPJIMR Mumbai,BBA,Digital Marketing,2026,"Hyderabad, Telangana","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,Marketing Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/meera-nair-953
Sneha Sen,NMIMS Mumbai,MBA,Marketing,2024,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Operations Consultant Intern at EY (6 Months),https://www.linkedin.com/in/sneha-sen-768
Arjun Chawla,IIM Calcutta,MBA,Operations & Supply Chain,2027,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Business Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/arjun-chawla-665
Tanvi Chawla,Delhi University,BBA,Marketing,2026,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Marketing Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/tanvi-chawla-389
Meera Gupta,SPJIMR Mumbai,MBA,Operations & Supply Chain,2024,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at Deloitte (3 Months),https://www.linkedin.com/in/meera-gupta-304
Kriti Nair,IIM Bangalore,BBA,Digital Marketing,2026,"Chennai, Tamil Nadu","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,Financial Analyst Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/kriti-nair-287
Siddharth Nair,IIM Bangalore,MBA,Marketing,2027,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,None,https://www.linkedin.com/in/siddharth-nair-392
Ananya Sen,IIM Calcutta,MBA,Operations & Supply Chain,2025,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/ananya-sen-628
Vikram Das,Symbiosis International University,MBA,Operations & Supply Chain,2025,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/vikram-das-307
Vikram Kapoor,XLRI Jamshedpur,MBA,Management Consulting,2027,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/vikram-kapoor-170
Diya Mehta,Christ University,BBA,Digital Marketing,2026,"Chennai, Tamil Nadu","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Business Analyst Intern at Amazon (2 Months),https://www.linkedin.com/in/diya-mehta-534
Rahul Reddy,IIM Ahmedabad,BBA,Data Analytics,2026,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Operations Consultant Intern at Deloitte (6 Months),https://www.linkedin.com/in/rahul-reddy-393
Gaurav Kapoor,Delhi University,BBA,Finance,2027,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/gaurav-kapoor-682
Pooja Patel,IIM Calcutta,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,HR Generalist Intern at Flipkart (6 Months),https://www.linkedin.com/in/pooja-patel-687
Ananya Singh,IIM Ahmedabad,MBA,Management Consulting,2024,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Marketing Intern at EY (3 Months),https://www.linkedin.com/in/ananya-singh-156
Gaurav Reddy,Symbiosis International University,BBA,Data Analytics,2027,"Chennai, Tamil Nadu","SQL, Excel, Tableau, Data Cleaning, Python",None,Marketing Intern at Flipkart (2 Months),https://www.linkedin.com/in/gaurav-reddy-266
Aarav Sen,IIM Bangalore,MBA,Management Consulting,2025,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Marketing Intern at KPMG (3 Months),https://www.linkedin.com/in/aarav-sen-613
Tanvi Patel,Shaheed Sukhdev College of Business Studies,MBA,Human Resources,2024,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Marketing Intern at HDFC Bank (5 Months),https://www.linkedin.com/in/tanvi-patel-348
Rahul Patel,Shaheed Sukhdev College of Business Studies,MBA,Operations & Supply Chain,2027,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at Flipkart (5 Months),https://www.linkedin.com/in/rahul-patel-736
Vikram Mehta,NMIMS Mumbai,MBA,Operations & Supply Chain,2027,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at Deloitte (3 Months),https://www.linkedin.com/in/vikram-mehta-695
Aditya Sen,SPJIMR Mumbai,BBA,Digital Marketing,2026,Delhi NCR,"Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,None,https://www.linkedin.com/in/aditya-sen-123
Isha Verma,Delhi University,MBA,Business Analytics,2025,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Marketing Intern at KPMG (3 Months),https://www.linkedin.com/in/isha-verma-535
Kriti Sharma,Delhi University,MBA,Finance,2026,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Operations Consultant Intern at KPMG (2 Months),https://www.linkedin.com/in/kriti-sharma-974
Meera Chawla,Delhi University,MBA,Finance,2026,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Business Analyst Intern at Amazon (4 Months),https://www.linkedin.com/in/meera-chawla-596
Aditya Patel,NMIMS Mumbai,MBA,Finance,2025,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),Business Analyst Intern at KPMG (3 Months),https://www.linkedin.com/in/aditya-patel-246
Isha Joshi,Christ University,BBA,Marketing,2024,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,HR Generalist Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/isha-joshi-939
Pooja Mishra,SPJIMR Mumbai,BBA,Finance,2025,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/pooja-mishra-280
Kriti Gupta,Christ University,BBA,Data Analytics,2024,Delhi NCR,"SQL, Excel, Tableau, Data Cleaning, Python",None,Marketing Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/kriti-gupta-260
Arjun Joshi,IIM Calcutta,MBA,Human Resources,2025,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Financial Analyst Intern at HDFC Bank (5 Months),https://www.linkedin.com/in/arjun-joshi-596
Isha Mehta,NMIMS Mumbai,MBA,Finance,2026,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/isha-mehta-493
Siddharth Chawla,Shaheed Sukhdev College of Business Studies,MBA,Business Analytics,2024,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,HR Generalist Intern at Flipkart (6 Months),https://www.linkedin.com/in/siddharth-chawla-605
Vikram Joshi,Delhi University,BBA,Data Analytics,2025,"Chennai, Tamil Nadu","SQL, Excel, Tableau, Data Cleaning, Python",None,Marketing Intern at EY (5 Months),https://www.linkedin.com/in/vikram-joshi-154
Isha Mishra,SPJIMR Mumbai,BBA,Data Analytics,2027,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,HR Generalist Intern at PwC (2 Months),https://www.linkedin.com/in/isha-mishra-465
Tanvi Joshi,IIM Ahmedabad,MBA,Management Consulting,2026,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at HDFC Bank (6 Months),https://www.linkedin.com/in/tanvi-joshi-785
Aditya Sen,IIM Ahmedabad,BBA,Marketing,2025,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Business Analyst Intern at Deloitte (6 Months),https://www.linkedin.com/in/aditya-sen-770
Siddharth Mishra,Christ University,MBA,Management Consulting,2024,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/siddharth-mishra-757
Aarav Joshi,IIM Ahmedabad,MBA,Business Analytics,2026,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Marketing Intern at EY (2 Months),https://www.linkedin.com/in/aarav-joshi-559
Siddharth Das,Symbiosis International University,MBA,Management Consulting,2024,Delhi NCR,"Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Operations Consultant Intern at KPMG (3 Months),https://www.linkedin.com/in/siddharth-das-685
Aditya Joshi,Christ University,MBA,Management Consulting,2027,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Operations Consultant Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/aditya-joshi-495
Siddharth Kapoor,Christ University,MBA,Operations & Supply Chain,2025,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,None,https://www.linkedin.com/in/siddharth-kapoor-607
Siddharth Chawla,FMS Delhi,MBA,Management Consulting,2027,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Financial Analyst Intern at Deloitte (4 Months),https://www.linkedin.com/in/siddharth-chawla-209
Kriti Gupta,Shaheed Sukhdev College of Business Studies,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Business Analyst Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/kriti-gupta-917
Amit Patel,SPJIMR Mumbai,BBA,General Management,2026,"Pune, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Business Analyst Intern at Reliance Industries (5 Months),https://www.linkedin.com/in/amit-patel-968
Meera Kapoor,Delhi University,BBA,Finance,2025,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Marketing Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/meera-kapoor-708
Isha Verma,FMS Delhi,BBA,Marketing,2026,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Financial Analyst Intern at Tata Consultancy Services (4 Months),https://www.linkedin.com/in/isha-verma-907
Sneha Mehta,Christ University,BBA,Marketing,2026,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Business Analyst Intern at PwC (3 Months),https://www.linkedin.com/in/sneha-mehta-407
Arjun Patel,IIM Calcutta,MBA,Finance,2024,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at EY (5 Months),https://www.linkedin.com/in/arjun-patel-304
Tanvi Das,Symbiosis International University,MBA,Finance,2026,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Operations Consultant Intern at PwC (5 Months),https://www.linkedin.com/in/tanvi-das-987
Amit Gupta,NMIMS Mumbai,MBA,Business Analytics,2027,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Operations Consultant Intern at PwC (3 Months),https://www.linkedin.com/in/amit-gupta-107
Diya Sen,Delhi University,MBA,Finance,2027,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),Operations Consultant Intern at PwC (6 Months),https://www.linkedin.com/in/diya-sen-889
Tanvi Das,Delhi University,MBA,Marketing,2026,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Operations Consultant Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/tanvi-das-118
Ananya Nair,XLRI Jamshedpur,BBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Business Analyst Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/ananya-nair-478
Ananya Sharma,NMIMS Mumbai,MBA,Human Resources,2026,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Financial Analyst Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/ananya-sharma-180
Riya Das,Delhi University,MBA,Business Analytics,2026,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Financial Analyst Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/riya-das-798
Aditya Sharma,IIM Bangalore,MBA,Operations & Supply Chain,2024,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at Amazon (4 Months),https://www.linkedin.com/in/aditya-sharma-503
Siddharth Singh,IIM Ahmedabad,MBA,Operations & Supply Chain,2027,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at KPMG (5 Months),https://www.linkedin.com/in/siddharth-singh-440
Amit Mehta,IIM Ahmedabad,BBA,Data Analytics,2025,"Pune, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",None,HR Generalist Intern at PwC (3 Months),https://www.linkedin.com/in/amit-mehta-988
Vikram Nair,Symbiosis International University,MBA,Marketing,2026,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Business Analyst Intern at KPMG (6 Months),https://www.linkedin.com/in/vikram-nair-106
Siddharth Verma,Delhi University,MBA,Human Resources,2026,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Marketing Intern at KPMG (5 Months),https://www.linkedin.com/in/siddharth-verma-250
Ananya Chawla,IIM Calcutta,BBA,Digital Marketing,2024,"Chennai, Tamil Nadu","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,None,https://www.linkedin.com/in/ananya-chawla-429
Amit Das,Shaheed Sukhdev College of Business Studies,MBA,Operations & Supply Chain,2025,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at ICICI Bank (6 Months),https://www.linkedin.com/in/amit-das-222
Kriti Patel,IIM Ahmedabad,MBA,Human Resources,2024,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,HR Generalist Intern at Reliance Industries (3 Months),https://www.linkedin.com/in/kriti-patel-688
Rohan Joshi,Christ University,MBA,Business Analytics,2024,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Business Analyst Intern at Amazon (5 Months),https://www.linkedin.com/in/rohan-joshi-314
Amit Mehta,IIM Ahmedabad,BBA,Marketing,2027,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,HR Generalist Intern at PwC (5 Months),https://www.linkedin.com/in/amit-mehta-214
Meera Joshi,IIM Calcutta,BBA,General Management,2025,"Pune, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Marketing Intern at EY (5 Months),https://www.linkedin.com/in/meera-joshi-426
Diya Mehta,XLRI Jamshedpur,BBA,Marketing,2024,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Business Analyst Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/diya-mehta-174
Kriti Sen,XLRI Jamshedpur,BBA,Finance,2024,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/kriti-sen-163
Kriti Das,Shaheed Sukhdev College of Business Studies,BBA,Digital Marketing,2026,"Bengaluru, Karnataka","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,Financial Analyst Intern at Flipkart (4 Months),https://www.linkedin.com/in/kriti-das-106
Isha Reddy,IIM Bangalore,MBA,Human Resources,2024,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Operations Consultant Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/isha-reddy-103
Sneha Nair,Christ University,BBA,Digital Marketing,2027,"Pune, Maharashtra","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,Financial Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/sneha-nair-561
Isha Sen,NMIMS Mumbai,MBA,Management Consulting,2024,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,None,https://www.linkedin.com/in/isha-sen-978
Diya Kapoor,IIM Calcutta,BBA,Data Analytics,2025,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,HR Generalist Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/diya-kapoor-930
Aarav Kapoor,Shaheed Sukhdev College of Business Studies,BBA,Data Analytics,2024,"Hyderabad, Telangana","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Marketing Intern at Amazon (4 Months),https://www.linkedin.com/in/aarav-kapoor-541
Aditya Nair,FMS Delhi,BBA,Digital Marketing,2026,"Bengaluru, Karnataka","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Operations Consultant Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/aditya-nair-963
Aarav Chawla,Symbiosis International University,MBA,Business Analytics,2027,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Operations Consultant Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/aarav-chawla-837
Ananya Joshi,FMS Delhi,MBA,Human Resources,2026,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Financial Analyst Intern at EY (2 Months),https://www.linkedin.com/in/ananya-joshi-821
Aarav Reddy,IIM Calcutta,BBA,Data Analytics,2026,"Hyderabad, Telangana","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Marketing Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/aarav-reddy-689
Ananya Das,FMS Delhi,MBA,Management Consulting,2024,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Financial Analyst Intern at PwC (4 Months),https://www.linkedin.com/in/ananya-das-903
Siddharth Reddy,Christ University,BBA,Marketing,2027,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Financial Analyst Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/siddharth-reddy-406
Tanvi Patel,IIM Bangalore,MBA,Business Analytics,2026,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,HR Generalist Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/tanvi-patel-252
Meera Gupta,NMIMS Mumbai,MBA,Human Resources,2026,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Financial Analyst Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/meera-gupta-315
Pooja Gupta,SPJIMR Mumbai,BBA,General Management,2024,Delhi NCR,"Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),None,https://www.linkedin.com/in/pooja-gupta-888
Riya Sharma,IIM Calcutta,BBA,Data Analytics,2025,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Operations Consultant Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/riya-sharma-105
Meera Gupta,IIM Ahmedabad,MBA,Operations & Supply Chain,2027,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/meera-gupta-391
Pooja Chawla,NMIMS Mumbai,MBA,Operations & Supply Chain,2025,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/pooja-chawla-245
